Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
GEMM/4x4/linear,1.4167043211821316e-7,1.357324966777579e-7,1.5238684501022172e-7,2.5470885000452914e-8,1.5386527923959102e-8,4.077504649839545e-8
GEMM/4x4/hmatrix,6.076133562537554e-7,5.949720165634849e-7,6.217151347653532e-7,4.46430882856762e-8,3.8698284248938945e-8,5.418647616302182e-8
GEMM/4x4/linear-massiv,3.6502146601031035e-5,3.58254414219607e-5,3.7195105935486456e-5,2.403890225980712e-6,2.0010188689982277e-6,2.9381750930932184e-6
GEMM/10x10/hmatrix,2.152447955604448e-6,2.0978510845988115e-6,2.2111443155753757e-6,1.907939109696364e-7,1.608443131745849e-7,2.4273719758920455e-7
GEMM/10x10/linear-massiv,4.874906677220298e-4,4.778302689321638e-4,5.020607283051525e-4,3.856981514325884e-5,3.058317945366532e-5,5.950601502770584e-5
GEMM/50x50/hmatrix,1.4275429048236799e-4,1.3855158729797313e-4,1.472688065162765e-4,1.503635357920596e-5,1.2063107100701855e-5,1.8979654452313613e-5
GEMM/50x50/linear-massiv,6.0338174040185676e-2,5.838028466178147e-2,6.282339957233306e-2,4.256345156428871e-3,2.7789856207622557e-3,6.132930849388606e-3
GEMM/100x100/hmatrix,1.351103293851627e-3,1.3159891881869767e-3,1.40808529465052e-3,1.496091448101284e-4,9.899679050668573e-5,2.4400175288655053e-4
GEMM/100x100/linear-massiv,0.47777141107993276,0.4620127531525213,0.48840080373338424,1.572927674549162e-2,8.926351831178181e-3,1.951528519924006e-2
GEMM/200x200/hmatrix,1.2148129637857559e-2,1.1727073358030698e-2,1.2651021283789232e-2,1.1850723267822372e-3,8.795226001238952e-4,1.5631600404293184e-3
GEMM/200x200/linear-massiv,3.149817509630035,3.060933444008697,3.183074503748988,6.0718743294375224e-2,2.3500650126309225e-3,7.915380304069167e-2
dot/4/linear,1.0253853544545552e-8,9.906086637622967e-9,1.0666807855019472e-8,1.3195395742040316e-9,9.681045634950617e-10,1.8106151309591313e-9
dot/4/hmatrix,4.5583735550748245e-7,4.4301023185654707e-7,4.698608387490051e-7,4.591961490797978e-8,3.927783114754064e-8,5.560477815444669e-8
dot/4/linear-massiv,1.2473746334568615e-6,1.2142842349126508e-6,1.2817624091775708e-6,1.2025175779129188e-7,1.0598420822601238e-7,1.3877863076404668e-7
dot/100/hmatrix,5.696253182490396e-7,5.551817755885383e-7,5.867498370752176e-7,5.17750717346185e-8,4.480299045784501e-8,6.102799508959374e-8
dot/100/linear-massiv,2.7036840388478608e-5,2.6304174986437898e-5,2.7895512502055656e-5,2.5821006467949915e-6,2.0259721317867204e-6,3.21909337272912e-6
dot/1000/hmatrix,1.9441329938211763e-6,1.8981989363114094e-6,2.006107036466244e-6,1.8162918303414418e-7,1.338012541531492e-7,2.5025045718675406e-7
dot/1000/linear-massiv,3.1381060677711426e-4,2.9900381357425196e-4,3.300274787106928e-4,5.258421054918419e-5,4.5350058928217616e-5,6.294056360017143e-5
matvec/4/linear,2.99099560030256e-8,2.93947091362842e-8,3.056300552498343e-8,1.9775414016056674e-9,1.5803698223834134e-9,2.526612784750432e-9
matvec/4/hmatrix,4.3565682705676593e-7,4.220774756668205e-7,4.5111026989187126e-7,4.7783033905945286e-8,4.1705236649669034e-8,5.447002296192968e-8
matvec/4/linear-massiv,7.431980290257981e-6,7.220407345763083e-6,7.66892166556791e-6,7.800929622436137e-7,6.624381368779678e-7,9.69791706617094e-7
matvec/50/hmatrix,2.908309539650905e-6,2.82728259530123e-6,2.995679840931653e-6,2.947354776905462e-7,2.3731119508042214e-7,3.9362767040859644e-7
matvec/50/linear-massiv,9.248489334135046e-4,8.986366771435069e-4,9.605179516676097e-4,1.0048540634800911e-4,8.284025704456323e-5,1.2989958642115225e-4
matvec/100/hmatrix,1.2119974078930667e-5,1.1777587107906529e-5,1.2544796831775793e-5,1.3593947812336709e-6,1.1597833133904943e-6,1.6915854883586949e-6
matvec/100/linear-massiv,3.6203135137898128e-3,3.516952317975229e-3,3.7537109091308855e-3,3.696347857929936e-4,3.0177654784639614e-4,4.6340670740564093e-4
luSolve/10x10/hmatrix,4.810913796500496e-6,4.730318356301185e-6,4.895150531180459e-6,2.7792750943639033e-7,2.283793199293337e-7,3.53241077575839e-7
luSolve/10x10/linear-massiv,2.163047914555811e-4,2.114872446510187e-4,2.2064335051418478e-4,1.4657965798712235e-5,1.1978426317058464e-5,1.7949591257125817e-5
luSolve/50x50/hmatrix,6.185113766870723e-5,6.03864921488628e-5,6.363655333014914e-5,5.60782976913036e-6,4.820972299644919e-6,6.530591335910014e-6
luSolve/50x50/linear-massiv,1.544542548390838e-2,1.497953044106839e-2,1.5952003744240523e-2,1.203628982047311e-3,9.321399966876864e-4,1.6000716534065465e-3
luSolve/100x100/hmatrix,3.6178945560691244e-4,3.530739004325137e-4,3.742813460172412e-4,3.641201856102929e-5,2.8137435924968085e-5,5.0956247962787643e-5
luSolve/100x100/linear-massiv,0.11267770091501353,0.10906138069341459,0.11565245008678175,5.214449766308865e-3,3.978655435495863e-3,6.456177990327427e-3
choleskySolve/10x10/hmatrix,4.426925136711106e-6,4.3200270465229795e-6,4.564278186098108e-6,4.356266714729663e-7,3.607103084120134e-7,5.381278231436633e-7
choleskySolve/10x10/linear-massiv,1.6143518034352842e-4,1.589107322137981e-4,1.6471376344207785e-4,9.796381666617382e-6,7.937878930713183e-6,1.3947983940616144e-5
choleskySolve/50x50/hmatrix,4.7528864238955184e-5,4.638190665942601e-5,4.886186452988532e-5,4.23775871139561e-6,3.4822186798101645e-6,5.0298353468988805e-6
choleskySolve/50x50/linear-massiv,9.219380142608846e-3,8.92377485877477e-3,9.543116381125953e-3,8.417108583376328e-4,6.885600553659362e-4,1.0387981968600047e-3
choleskySolve/100x100/hmatrix,2.5720738190558774e-4,2.500486633312259e-4,2.669265880633203e-4,2.7445594888690184e-5,2.0703678038372493e-5,3.521406412144465e-5
choleskySolve/100x100/linear-massiv,6.085767069656475e-2,5.8536813284645973e-2,6.394171704805099e-2,4.616638842164008e-3,3.6144206780145257e-3,6.247821117427e-3
QR/10x10/hmatrix,1.395487964730728e-4,1.3500512919057444e-4,1.4500231896371477e-4,1.769655410616438e-5,1.4703811229307064e-5,2.343193237113072e-5
QR/10x10/linear-massiv,5.442825952038348e-4,5.316682106193468e-4,5.567298138537772e-4,4.085805145043693e-5,3.470114896871133e-5,5.1063218436626164e-5
QR/50x50/hmatrix,1.1318493328175302e-2,1.1072822082447111e-2,1.157280079176989e-2,6.808474002211765e-4,4.725266759592812e-4,1.0458711128754686e-3
QR/50x50/linear-massiv,6.191065709344102e-2,6.0082897259287386e-2,6.347843396639914e-2,3.385686270239074e-3,2.406738876573809e-3,4.64353174264482e-3
QR/100x100/hmatrix,0.12960241621445415,0.12340821761296995,0.142340656122542,1.2855861305453268e-2,7.484757730716857e-3,1.8385890747058976e-2
QR/100x100/linear-massiv,0.49313674048122874,0.4704979477683082,0.5111997371932375,2.3421197523235515e-2,1.03824519482219e-2,3.133225210797652e-2
eigenSH/10x10/hmatrix,1.2181900944708834e-5,1.1915198439368186e-5,1.2513646150907247e-5,1.0096149215609637e-6,8.557446135266475e-7,1.2342135313252454e-6
eigenSH/10x10/linear-massiv,5.956686051434053e-4,5.694815488336962e-4,6.257069552663393e-4,9.40708192153633e-5,8.163807978682516e-5,1.1130620733278693e-4
eigenSH/50x50/hmatrix,4.277173298232798e-4,4.123996068784155e-4,4.4626623754518205e-4,5.462123329462563e-5,4.613384746381723e-5,6.639826840488302e-5
eigenSH/50x50/linear-massiv,5.094741664094563e-2,4.8766182333020394e-2,5.336915233281815e-2,4.400124715305294e-3,3.4053400673923996e-3,6.0878065911844186e-3
SVD/10x10/hmatrix,2.4524657151836502e-5,2.393240641008047e-5,2.52813669074477e-5,2.104729441540018e-6,1.5574413269775538e-6,2.9221334239393377e-6
SVD/10x10/linear-massiv,1.583494504653251e-3,1.5588082883489969e-3,1.6129247320558926e-3,9.179404735964557e-5,7.684483537859075e-5,1.1240135273182576e-4
SVD/50x50/hmatrix,5.180301247253182e-4,5.094848385124128e-4,5.272765575540105e-4,2.9525522287979043e-5,2.4105288257915527e-5,4.08380248369301e-5
SVD/50x50/linear-massiv,0.1869724266900448,0.17576390951063434,0.2156966745788749,2.4155133318574117e-2,4.910645815764076e-3,3.376700463951667e-2
