Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Parallel/scaling-gemm/100x100/Seq,0.6133143921081986,0.5809991050336976,0.653084038029192,4.463086393301122e-2,1.2572877147855877e-2,6.0111050754007404e-2
Parallel/scaling-gemm/100x100/Par,8.833440163905922e-2,8.511582910738763e-2,9.089825955753136e-2,4.9741014552358446e-3,3.845822913135641e-3,6.824805820594725e-3
Parallel/scaling-gemm/100x100/ParN-1,0.5982788752468574,0.5332834002983873,0.652279188875885,6.574782969701326e-2,2.539223739025409e-2,8.254527780423174e-2
Parallel/scaling-gemm/100x100/ParN-2,0.3193348582768037,0.30056963774065176,0.3266532451061842,1.4364204267599571e-2,5.493712613066479e-3,1.9839230463143648e-2
Parallel/scaling-gemm/100x100/ParN-4,0.20076955347904005,0.1891409333433128,0.21187163525286856,1.532805102292919e-2,9.454457787880474e-3,2.0570029969273016e-2
Parallel/scaling-gemm/100x100/ParN-8,0.2822428810057075,0.2740059927955736,0.28865228752372785,9.281449369397727e-3,5.92251125749698e-3,1.2489869756084926e-2
Parallel/scaling-gemm/100x100/ParN-16,8.56065932367762e-2,8.34038021872818e-2,8.826923506464698e-2,4.069840494203832e-3,2.80388485596362e-3,5.322645947743776e-3
Parallel/scaling-gemm/100x100/ParN-20,9.788290652755144e-2,9.197790500179436e-2,0.10483616218954321,1.0729862082874145e-2,7.631099066710498e-3,1.5425919207461301e-2
Parallel/scaling-gemm/200x200/Seq,4.750048197301415,4.625069569097832,4.931145949696656,0.17102911950314936,1.585484378290758e-3,0.20990641437920288
Parallel/scaling-gemm/200x200/Par,1.4078473610958706,1.3721366084791953,1.439375649104477,3.798134835406781e-2,3.1051811823484796e-2,4.242246888030154e-2
Parallel/scaling-gemm/200x200/ParN-1,4.656238042807672,4.5636254599521635,4.715053610649193,9.569537366320695e-2,4.7422693663975224e-2,0.13431930423654215
Parallel/scaling-gemm/200x200/ParN-2,3.2243734756824174,3.127468284806431,3.297743519884534,9.31850091637484e-2,4.627824657169799e-2,0.11235376449560412
Parallel/scaling-gemm/200x200/ParN-4,1.8468431093618467,1.794261746617849,1.8897184249896477,5.671615591124173e-2,2.2415155661213458e-2,7.675389826743886e-2
Parallel/scaling-gemm/200x200/ParN-8,1.3292898713067796,1.3136007299860164,1.3526796307366264,2.2531833193410542e-2,6.7088098633879545e-3,3.008295182399917e-2
Parallel/scaling-gemm/200x200/ParN-16,2.569109140048871,2.44510238392589,2.7753651578896097,0.19544888037077776,1.002701091381708e-2,0.24317744030157037
Parallel/scaling-gemm/200x200/ParN-20,1.9760256526836504,1.9248498167532184,2.037597192936422,6.986097374709184e-2,2.3446642987740574e-2,9.111167932062578e-2
