Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
BLAS/gemm/4x4/linear-V4,2.2853819321785673e-7,2.2177411607978183e-7,2.385083266328013e-7,2.8393110066350927e-8,2.168406225966719e-8,3.742973645522224e-8
BLAS/gemm/4x4/massiv-P,3.505110856976954e-5,3.415893508669222e-5,3.6786255985181704e-5,3.872944844817549e-6,2.044265493451735e-6,6.633818339144628e-6
BLAS/gemm/10x10/P/Seq,4.639374361541975e-4,4.5908401468586576e-4,4.7302668163556357e-4,2.504895482909039e-5,2.123074722511518e-5,3.059620230645673e-5
BLAS/gemm/50x50/P/Seq,5.392743863812369e-2,5.317350182794689e-2,5.459905579237419e-2,1.394512247266028e-3,1.0883607739523003e-3,1.8722853775807833e-3
BLAS/gemm/50x50/P/Par,1.1299029073161779e-2,1.0896192146711992e-2,1.1674469658691795e-2,1.0417517545415875e-3,8.226962232204669e-4,1.3241979862851127e-3
BLAS/gemm/100x100/P/Seq,0.4479932036277508,0.4400057860038942,0.46152414437650197,1.292819770514253e-2,4.995580902173637e-4,1.5873963612469403e-2
BLAS/gemm/100x100/P/Par,7.452951846814863e-2,7.222076413185277e-2,7.982882395455412e-2,5.847889609276271e-3,2.787584521215737e-3,9.15934675690611e-3
BLAS/gemm/200x200/P/Seq,4.221364156355169,3.6307592517308267,4.5683029039185685,0.5891863541921498,0.23849783170601252,0.801220717192161
BLAS/gemm/200x200/P/Par,1.0500359155242525,1.04545288900772,1.0540176713147957,4.733545685664914e-3,2.463628006807994e-3,6.593172494054345e-3
BLAS/gemm/repr-100x100/P,0.5082195572485944,0.4672272482494009,0.5348285289983323,4.352181572258175e-2,2.4451269000564935e-2,6.145078801028147e-2
BLAS/dot/4/linear-V4,1.5763276632109496e-8,1.50943599629893e-8,1.712000215532796e-8,3.08642632584773e-9,2.558882281949153e-9,3.987509902339809e-9
BLAS/dot/4/massiv-P,3.166454389586941e-6,3.023513818145999e-6,3.3256511132904097e-6,4.998003228557197e-7,3.2604650661868315e-7,7.182247269628215e-7
BLAS/dot/100/P,4.620433790065681e-5,4.392341615163873e-5,4.8781516815198695e-5,8.784358867118343e-6,6.193389175828784e-6,1.2838262405688944e-5
BLAS/dot/1000/P,3.82276579367933e-4,3.741998254591685e-4,3.9360673905239026e-4,3.437449470558597e-5,2.78604112461337e-5,4.383889591495947e-5
BLAS/dot/10000/P,3.7902042574197822e-3,3.6405400970315215e-3,4.0467148884813006e-3,5.798340125955418e-4,4.609128027535767e-4,8.23106172892727e-4
BLAS/matvec/4/linear-V4,6.880326292471955e-8,6.619332556335356e-8,7.188763837158578e-8,9.250919920245984e-9,7.342540881965013e-9,1.2624934395113746e-8
BLAS/matvec/4/massiv-P,1.1628181248213742e-5,1.1332855354222131e-5,1.2027885259539427e-5,1.008588539173004e-6,8.438675012636267e-7,1.2778534677466406e-6
BLAS/matvec/50/P,1.2785432444273443e-3,1.2412782167615663e-3,1.320674580408026e-3,1.392415110598557e-4,1.0881608839477008e-4,1.6895716394304915e-4
BLAS/matvec/100/P,5.342313834518252e-3,5.1940445522146075e-3,5.6427950703252456e-3,6.734397696745186e-4,4.5529480200750253e-4,1.0432083403418143e-3
Solve/lu/10x10/P,1.88713161866545e-4,1.8102641185913408e-4,1.9971567475171646e-4,2.6662177964487165e-5,1.9626444088238386e-5,4.309967120008927e-5
Solve/lu/50x50/P,2.0620770648722038e-2,1.9624317440479874e-2,2.1864601960774353e-2,2.5279025685758724e-3,1.9773363509216443e-3,3.198310550547814e-3
Solve/lu/100x100/P,0.17123088134889455,0.16525545795717383,0.18670058890711516,1.3226636927387223e-2,3.297492800894591e-3,2.0864374073415817e-2
Solve/luSolve/10x10/P,3.636077801547034e-4,3.50878006860618e-4,3.8045722884463417e-4,4.639172607677196e-5,3.366100356062454e-5,6.067562651155406e-5
Solve/luSolve/50x50/P,2.381762244749938e-2,2.2924264886152294e-2,2.5088486194059945e-2,2.3634499570361228e-3,1.6148400233213622e-3,3.4748431617950327e-3
Solve/luSolve/100x100/P,0.19841521027426803,0.19099663136471967,0.20310932778472002,8.210346917955417e-3,3.617866130396861e-3,1.2413250746603866e-2
Solve/cholesky/10x10/P,1.455059108402116e-4,1.40617476450929e-4,1.501957936522486e-4,1.6153596361909084e-5,1.4039697270709811e-5,2.0642454840821582e-5
Solve/cholesky/50x50/P,1.0440112544748758e-2,9.96024396279447e-3,1.109995676589466e-2,1.3858582473284216e-3,9.377120467109722e-4,1.809198005016986e-3
Solve/cholesky/100x100/P,8.474767792706044e-2,7.708616516024146e-2,9.517608634171275e-2,1.4851014404523093e-2,1.2230921492663908e-2,1.84534275679766e-2
Solve/choleskySolve/10x10/P,2.0516626855389994e-4,2.0121607007354153e-4,2.1227096851552508e-4,1.582456490315065e-5,1.1076515391509573e-5,2.5255571868287382e-5
Solve/choleskySolve/50x50/P,1.1322012226743252e-2,1.1086533025175245e-2,1.1771089419306146e-2,8.401552208724118e-4,4.2326289406701084e-4,1.257383182529512e-3
Solve/choleskySolve/100x100/P,8.030919873443573e-2,7.68037883782866e-2,8.66556065547463e-2,7.6962435888095595e-3,1.8134086634370742e-3,1.1880175219655509e-2
Orthogonal/qr-householder/10x10/P,8.592780241882494e-3,8.506836741410402e-3,8.735881220235737e-3,3.0476684106092776e-4,2.46382458926389e-4,4.013510559095282e-4
Orthogonal/qr-householder/50x50/P,5.4361844694576575,5.289508319081506,5.562087172125757,0.17136266277440637,0.12685265475010965,0.1922572308786881
